nom;prenom;matricule;date_de_naissance;rue;code;ville;telephone;email
Alfred;Étienne;"85, rue Masse
42619 Gomezdan";22/08/1990;4, avenue François;64465;Yvelines;174407043;bcollin@grenier.com
Isabelle;Turpin;"59, rue Anastasie Reynaud
01955 Saint Laurent";17/06/1936;670, chemin Carlier;46292;Marne;387022270;berthelotmarie@arnaud.fr
Susanne;Mary;"rue de Aubry
45448 Meyerdan";09/08/1996;3, boulevard de Fontaine;13793;Nièvre;+33 4 90 52 78 08;paulzacharie@becker.com
Aurélie;Raynaud;"75, chemin de Bousquet
25022 Sainte Julie";11/09/1947;rue Marthe Langlois;9251;Haute-Marne;+33 (0)3 66 59 94 49;lpasquier@de.net
Amélie;Andre;"rue Marty
26905 Lenoirdan";27/03/1986;boulevard Maréchal;8115;Loiret;+33 (0)3 75 02 84 00;kmarques@renard.net
Laurence;Boulanger;"40, chemin Boulanger
35326 Marchal-les-Bains";25/12/1973;3, rue de Torres;22005;Hautes-Pyrénées;+33 (0)1 46 01 99 22;amichel@duhamel.fr
Michèle;Hoarau;"738, rue Cordier
16637 Jeannec";19/01/1954;26, chemin Édith Guichard;99734;Alpes-Maritimes;582618026;lecoqastrid@lesage.com
Michèle;Jacques;"85, rue Jeanne Jacquet
55257 ChrétienVille";05/01/1948;69, avenue Luce Dupont;86064;Lozère;+33 3 24 22 19 52;perrethortense@barthelemy.com
Lucy;Lacombe;"382, rue Gaillard
08275 Guyon-sur-Hervé";30/12/1966;7, rue Zacharie Techer;82684;Gard;03 24 67 84 66;normandhonore@thomas.com
Marthe;Merle;"581, boulevard de Roy
10015 PrévostBourg";25/12/1982;447, boulevard Courtois;82028;Haute-Marne;+33 3 66 64 09 26;brigittemoreno@mallet.fr
Xavier;Rey;"boulevard François Royer
86742 Gimenez";18/12/1970;39, rue Daniel Martel;96814;Orne;+33 5 54 14 25 12;chartierguillaume@robert.fr
Michèle;Blot;"255, rue de Guillot
74430 Monnierboeuf";08/11/1933;boulevard Audrey Jean;62343;Val-d'Oise;04 77 54 69 21;gmonnier@rolland.fr
Louise;Pelletier;"56, avenue Klein
72532 Didier";03/07/1952;avenue de Perrier;87993;Vienne;03 85 47 35 80;georgestimothee@dumas.fr
Benoît;Bruneau;"5, chemin Colin
25030 Sainte Élisabeth";29/12/1921;4, avenue Philippe;89618;Côtes-d'Armor;+33 2 48 66 70 63;csalmon@leroy.fr
Maryse;Tessier;"92, chemin Henry
40292 Guillaumeboeuf";28/10/1948;981, avenue Denis;72785;Charente-Maritime;02 55 61 98 53;wmenard@becker.fr
André;Cohen;"47, rue Philippe Martel
23745 Joseph-les-Bains";22/06/1992;4, boulevard Louise Maillet;2505;Deux-Sèvres;+33 5 31 76 36 73;anaisrousseau@samson.net
Monique;Millet;"799, boulevard Teixeira
97037 Prévost-sur-Berthelot";09/02/1948;rue Lucas;79318;Meurthe-et-Moselle;594573258;michelle76@dupre.fr
Camille;Bigot;"31, avenue Mathilde Gimenez
50063 Sainte Isabellenec";27/12/1994;3, avenue de Ruiz;88119;Seine-Saint-Denis;05 17 03 69 54;valletalphonse@bonneau.fr
Honoré;Turpin;"avenue de Lopes
66853 Aubry-sur-Blanc";15/05/1927;89, boulevard Voisin;56016;Seine-et-Marne;+33 5 19 20 16 30;remy61@klein.fr
Laetitia;Diaz;"680, boulevard de Garcia
70452 Perrin";06/10/1997;5, rue de Dijoux;92708;Mayotte;+33 3 24 18 32 36;julierocher@leveque.com
René;Mace;"83, rue Robert Guilbert
15450 Saint StéphaneBourg";14/01/1944;93, chemin de Pons;68861;Aude;02 99 24 36 40;petitlucie@garnier.fr
